shift_id,category,note
S107751,colleague_absent,"September didnt come in, covered the post !"
S100406,nothing_reported,as per normal
S101019,late_handover,"late handover, waiting on paperwork"
S104171,client_requested,"requested by centre management for load in, signed off"
S100329,disputed_client_request,client signed for the extra hours but real reason is relief no show again
S104084,late_handover,"late handover, waiting on paperwork"
S105455,colleague_absent,Covering for Mahlangu - booked off sick
S104307,client_requested,"requested by centre management for load in, signed off"
S107353,nothing_reported,nothing to report
S105081,relief_no_show,"control room says relief coming, nobody came"
S104524,nothing_reported,all quiet
S106429,late_handover,shift handover delayed by 30 min
S103630,colleague_absent,"Botha absent, took her rounds as well"
S101912,colleague_absent,"covering khumalo post, no show no call"
S106449,client_requested,client requested deep clean before the audit - approved !
S102915,colleague_absent,"worked through, Baloyi at the clinic"
S108089,relief_no_show,"conntrol room says relief coming, nobody came"
S100063,colleague_absent,"Botha didnt come in, covered the post"
S109151,nothing_reported,no incidents
S105810,colleague_absent,covered for mauel again - 3rd time this month
S100324,relief_no_show,"still on site, relief was suppose to come 06:00"
S108372,colleague_absent,"worked through, Sibiya at the clinic.."
S104893,late_handover,"waited 20 min for handover, OB book not signed"
S106412,colleague_absent,"uTshabalala akezanga namhlanje, ngimele yena"
S106153,colleague_absent,stood in for Pillay..
S107045,relief_no_show,relief no show AGAIN
S104802,client_requested,"extra patrol per client email, approved by office"
S108282,client_requested,klient het ekstra ure gevra vir stocktake
S103468,late_handover,"waited 25 min for handover, OB book not signed"
S100592,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt"
S104639,client_requested,"additional cover requested by site mgr, signed off"
S106391,nothing_reported,akukho lutho
S102310,nothing_reported,.
S108259,equipment_failure,"gate motor failed, manned it by hand till 6"
S107682,nothing_reported,-
S106087,relief_no_show,"relief only arrived 06h00, stayed until then"
S101617,nothing_reported,
S103563,nothing_reported,sharp
S107432,nothing_reported,ntr
S105979,nothing_reported,fine
S107340,colleague_absent,Covering for Mahlangu - bookked off sick
S103376,client_requested,"client wanted extra man on the gate for the event, approved"
S107293,relief_no_show,"relief never arrived, stayed on till 6"
S100954,nothing_reported,ok
S101549,late_handover,"handover late agn, keys missing"
S100624,nothing_reported,akukho lutho
S100926,colleague_absent,"covering Hendricks pos, no show no call"
S103528,client_requested,Centre mgr requested additional cover for stocktake
S107844,client_requested,Clint requested deep clean before the audit - approved
S106119,colleague_absent,"uMolefe akezanga namhlanje, ngimele yena"
S101874,relief_no_show,"no replacement sent, ngicela sort this out"
S107803,nothing_reported,fine
S105335,client_requested,client asked for extra patrol after the break-in tueesday
S107833,late_handover,"oorhandiging was laa, gewag vir sleutels"
S108358,colleague_absent,"took Motaung shift as well, 2 posts 1 guard"
S101505,nothing_reported,
S106236,client_requested,extra hours approved by clent for the event setup
S101047,client_requested,Centre manager requested additional cover for stocktake
S109288,nothing_reported,all quiet
S104123,nothing_reported,nothing to report
S108613,late_handover,"oorhandiging was laat, gewag vir sleutels"
S103780,nothing_reported,nothing to report
S109338,relief_no_show,relief no show again
S106991,client_requested,"client asked us to stay for the delivery, ok'd by cnetre mgmt"
S108913,relief_no_show,double shift bc relief never pitched
S101184,late_handover,shift handover delayed by 25 min
S101387,colleague_absent,"gedek vir Adaams, siek gemeld"
S108219,nothing_reported,nothing to report
S101599,disputed_client_request,client signed for the extra hours but real reason is relief no show agin
S106262,colleague_absent,"covering Molefe post, no sow no call.."
S102769,nothing_reported,
S109299,colleague_absent,"Hendricks didnt come in, coevred the post"
S101576,late_handover,"waited 30 min for handover, OB book not signed !"
S104408,colleague_absent,"ugNcobo akezanga namhlanje, ngimele yena"
S102020,colleague_absent,"took Wyk shift as well, 2 posts 1 guard"
S105189,client_requested,CLIENT REQUESTED DEEP CLEAN BEFORE THE AUDIT - APPROVED
S101875,late_handover,shift handover delayed by 30 min
S103448,colleague_absent,"Mokoena didnt come in, covered the pst"
S104440,relief_no_show,"waited for relief, nobody came through"
S103026,relief_no_show,relief no shwo AGAIN
S100892,colleague_absent,"uJacobs akezanga namhlanje, ngimele yena.."
S107877,late_handover,shift handover delayed by 45 min
S108492,nothing_reported,fine
S107113,late_handover,"handover late again, keys missing"
S104838,unclear,"cllient says stay till 06h00, dont know if office approved"
S104527,colleague_absent,Covreed for Mabaso agn - 3rd time this month
S106371,colleague_absent,"double duty today, Dlamini on family responsibility leave"
S108108,relief_no_show,"aflos het nie opgedaag nie, moes aanbly"
S102956,late_handover,"late handover, waiting on paperwork.."
S101752,colleague_absent,"gedek vir Maluleke, siek gemeld"
S103686,relief_no_show,"relief never arrived, stayed on till 06h00"
S104188,colleague_absent,"TOOK SIBIYA SHIFT AS WELL, 2 POSTS 1 GUARD"
S107471,nothing_reported,.
S107963,colleague_absent,"Sithole absent, took her rounds as well.."
S101906,equipment_failure,"scrubber broke down, had to do the flooor manually"
S102383,client_requested,"client wanted extra man on the gate for the event, appoved"
S104172,equipment_failure,"generator fault, stayed to monitor"
S108025,relief_no_show,"reliief only arrived 06:00, stayed until then"
S109329,unclear,"client says stay till 6am, dont kow if office approved"
S103063,colleague_absent,"took Wyk shift as well, 2 posts 1 guard"
S100422,colleague_absent,mavuso off sick. again. covered.
S107743,colleague_absent,"gedek vir Khumalo, siek gemeld !"
S100921,nothing_reported,as per normal
S108442,late_handover,"oorhandiging was laat, gewag vir sleutels"
S107824,client_requested,Centre manager requested additional cover for stocktake
S106793,disputed_client_request,client signed for the extra hours but real reason is relief no show agn..
S101513,colleague_absent,"TOOK BOTHA SHIFT AS WELL, 2 POSTS 1 GUARD"
S102046,client_requested,"client wanted extra man on the gate for the event, approved"
S108952,late_handover,"handover late again, keys missign"
S105999,colleague_absent,stood in for Ndlovu
S103398,relief_no_show,"control room syas relief coming, nobody came"
S102032,equipment_failure,"machine down again, took twice as long.."
S108170,equipment_failure,"lift out of order, everything carried up stairs, took long"
S103186,late_handover,"waited 45 min for handover, ob book not signed"
S103258,nothing_reported,
S102514,colleague_absent,"maluleke absent, took her rounds as well"
S101242,client_requested,extra hours approved by cliennt for the event setup
S103855,late_handover,"oorhandiging was laat, gewag vir sleutels"
S107720,equipment_failure,"machine down again, took twce as long"
S104067,nothing_reported,sharp
S105344,colleague_absent,"covering Mokoena post, no show no call"
S100153,equipment_failure,"buffer machine kaput, did the floor by hand"
S100195,client_requested,"additional cover requuested by site maanger, signed off"
S100504,nothing_reported,quiet shift
S107445,colleague_absent,"toko Fourie shift as well, 2 posts 1 guard"
S105589,client_requested,extra hours approoved by clinet for the event setup
S104419,late_handover,shift handover delayed by 25 min !
S107473,colleague_absent,"wroked through, naidoo at the clinic"
S101083,nothing_reported,quiet shift
S100377,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S102826,nothing_reported,
S100391,relief_no_show,"aflos het nie opgedaag nie, moes aabnly"
S108328,colleague_absent,"covering Jacobs post, no show no call"
S100618,nothing_reported,nothing to report
S107742,relief_no_show,"control room says relief coming, nobdoy came"
S104637,client_requested,extra hours approved by client for the event setup
S100893,equipment_failure,"buffer machine kaput, did the floor by hand.."
S104125,relief_no_show,"waited for relief, nobody came through"
S103628,client_requested,extra hrs approved by client for the event setup
S106131,client_requested,extra hrs approved by client for the event setup
S107763,nothing_reported,no incidents
S107745,client_requested,"requested by centre management for load in, signed off !"
S106445,relief_no_show,no relief. stayed. someone must please sort the roster..
S106151,late_handover,shift handover delayed by 50 min
S103016,nothing_reported,ok
S104630,equipment_failure,"lift out of order, everything carried up stairs, took long"
S104543,client_requested,exra hours approved by client for the event setup
S104784,equipment_failure,"machine down agn, took twice as long.."
S101584,client_requested,Client requested deep clean before the audit - approved
S107058,relief_no_show,"control room says relief coming, nobody came"
S100599,colleague_absent,"double duty today, jacobs on family responsibility leave"
S106491,client_requested,Client asked for extra patrol after the break-in Tuesday
S108623,relief_no_show,"nxt shift akafikanga, ngihlale kuze kube 0600"
S108587,colleague_absent,"worked through, september at the clinic"
S107327,relief_no_show,no relief. staye. someone must pleease sort the roster !
S109285,late_handover,shift handover delayed by 30 min
S104563,late_handover,shift handover delayed by 30 min
S101903,nothing_reported,no incidents
S104534,colleague_absent,"took Wyk shift as well, 2 posts 1 guard.."
S100693,late_handover,"handover late agn, keys missing !"
S102396,relief_no_show,"next shift akafikanga, ngihlale kuze kube 06h00"
S108862,client_requested,"stocktake ran over, client asked us to remain, they know they pay for it"
S106564,client_requested,centre manager requested additional cover for stocktake
S101591,colleague_absent,"uAdams akezanga namhlanje, ngimele yena"
S107632,late_handover,shift handover delayed by 40 min
S107123,late_handover,"oorhandiging was laat, geewag vir sleutels"
S100716,colleague_absent,Botha off sick. again. covered
S106552,colleague_absent,Covering for Khumalo - booked off sick
S108889,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S100160,relief_no_show,"aflos het nie opgedaag nie, moes aanbly"
S108113,client_requested,"client wanted extra man on the gate for the event, approved"
S104315,colleague_absent,Covered for Zulu agn - 3rd time this month
S100588,late_handover,"oorhandiging was laat, gewag vir sletuels"
S106213,colleague_absent,"Radebe didnt come in, covered the post"
S102110,unclear,"client says stay till 0600, dont know if office approved"
S103965,colleague_absent,"Mavuso didnt come in, covered the post"
S102765,equipment_failure,"buffer mcahine kaput, did the floor by hand.."
S102065,client_requested,"CLIENT ASKED US TO STAY FOR THE DELIVERY, OK'D BY CENTRE MGMT"
S108797,client_requested,Client requested deep clean before the audit - approved
S100570,nothing_reported,no incidents
S106130,client_requested,extra hours approved by client for the event setup
S105900,colleague_absent,"covering Maluleke post, no show no call"
S100159,equipment_failure,"lift out of order, everything carried up stairs, took long"
S107412,client_requested,Client requested deep clean before the audit - approved
S104919,relief_no_show,double shift bc relief never pitched
S104519,equipment_failure,"SCRUBBER BROKE DOWN, HAD TO DO THE FLOOR MANUALLY"
S104625,equipment_failure,"scrubber broke down, had to do the floor manually"
S104230,colleague_absent,"HENDRICKS DIDNT COME IN, COVERED THE POST"
S107710,equipment_failure,"buffer machine kaput, did the floor by hand.."
S107512,nothing_reported,no issues on site
S107337,relief_no_show,next shift guard did not pitch. had to cover.
S109128,nothing_reported,sharp
S104122,nothing_reported,-
S100731,late_handover,"late handover, waiting on paperwork"
S107041,unclear,"client says stay till 0600, dont know if offcie approved"
S107057,nothing_reported,no incidents
S108017,relief_no_show,"relief only arrived six, stayed until thhen"
S100815,nothing_reported,
S105108,equipment_failure,"buffer machine kaput, did the floor by hand"
S104091,colleague_absent,"double duty today, Ngcobo on family responsibility leave"
S105998,nothing_reported,sharp
S106138,relief_no_show,"relief only arrived 06:00, stayed until then"
S103597,colleague_absent,"covering Molefe post, no show no call.."
S107765,relief_no_show,no relief. stayed. someone must please sort the roster
S102732,colleague_absent,stood in for Khumalo
S100013,relief_no_show,"no replacement sent, ngicela sort this out"
S107891,colleague_absent,"covering Radebe post, no show no call"
S104320,disputed_client_request,client signed for the extra hrs but real reason is relief no show again
S103450,client_requested,"client wanted extra man on the gate for the event, approved"
S105833,client_requested,Centre manager requested additional cover for stocktake..
S107430,equipment_failure,"buffer machine kaput, did the floor by hand"
S105324,late_handover,"waited 20 min for handover, OB book not signed"
S101068,colleague_absent,"mavuso didnt come in, covered the post"
S103089,colleague_absent,"took Mavuso shift as well, 2 posts 1 guard"
S106346,unclear,"CLIET SAYS STAY TILL 0600, DONT KNOW IF OFFICE APPROVED"
S100845,nothing_reported,
S101082,nothing_reported,-
S102397,relief_no_show,"relief oly arrived six, stayed until then"
S101577,client_requested,"stocktake ran over, client asked us to remain, they know they pay for it"
S103386,nothing_reported,akukho lutho
S100261,client_requested,"extra patrol per client email, approved by office"
S108560,colleague_absent,"Motaung absent, took her rounds as well"
S100346,equipment_failure,"gate motor faled, manned it by hand till 06h00"
S107758,relief_no_show,"waited for relief, nobody came through"
S103760,disputed_client_request,client signed for the extra hours but real reason is relief no show agn
S105632,late_handover,"late handover, waiting on paperwork"
S102162,nothing_reported,quiet shift
S106556,equipment_failure,"gate motor failed, manned it by hand till six"
S106150,colleague_absent,"DOUBLE DUTY TODAY, WYK ON FAMILY RESPONSIBILITY LEAVE"
S104946,nothing_reported,ok
S109135,late_handover,"late handover, waiting on paperwork"
S107358,client_requested,"extra patrool per client email, approved by office"
S108965,unclear,"client says stay till six, dont know if office approved"
S107557,colleague_absent,Balloyi off sick. agn. covered
S102889,unclear,"client says stay till 6am, dont know if office approved"
S101114,client_requested,klient het ekstra ure gevra vir stocktake !
S104158,unclear,"client says say till 6am, dont know if office approved"
S108836,relief_no_show,"waited for relief, nobody came through"
S103378,late_handover,"handover laet agn, keys missing"
S108174,late_handover,shift handover delayed by 20 min..
S102121,nothing_reported,akukho lutho
S106272,client_requested,"additional cover requested by site manager, signed off"
S102883,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt"
S104413,colleague_absent,"double duty today, Zulu on family responsibility leave"
S102630,colleague_absent,"took dlamini shift as well, 2 posts 1 guard"
S103206,colleague_absent,stood in for Fourie
S103609,colleague_absent,"gedek vir Ndlovu, siek gemeld"
S103551,client_requested,CLIETN ASKED FOR EXTRA PATROL AFTER THE BREAK-IN TUESDAY
S107118,client_requested,klient het ekstra ure gevra vir stocktake
S107491,colleague_absent,zulu off sick. again. coveered.
S103775,equipment_failure,"scrubber broke down, had to do the floor manually.."
S104429,colleague_absent,"Septeember didnt come in, covered the post"
S104005,colleague_absent,"Mabaso didnt come in, covered the post"
S102885,nothing_reported,sharp
S106574,nothing_reported,ntr
S104365,client_requested,"additional cover requested by site mgr, signed off"
S105303,client_requested,extra hours approved by client for the event setup
S102254,unclear,"client says stay till 6, dont know if office approved"
S102028,client_requested,"stocktake ran over, client asked us to reemain, they know they pay for it"
S107739,client_requested,klient het ekstra ure gevra vir stocktake..
S100313,equipment_failure,"generator fault, stayed to monitor"
S105239,equipment_failure,"scrubber broke down, had to do the floor manually"
S101500,colleague_absent,"Sithole absent, took her rounds as well"
S109296,relief_no_show,"NEXT SHIFT AKAFIKANGA, NGIHLALE KUZE KUBE 0600.."
S109301,colleague_absent,"took Wyk shift as well, 2 posts 1 gard.."
S102605,nothing_reported,
S103931,nothing_reported,niks om te rapporteer nie
S102420,late_handover,"oorhandiging was laat, gewag vir sleutels"
S108871,client_requested,Client askeed for extra patrol afetr the break-in Tuesday
S105150,nothing_reported,-
S106438,colleague_absent,stood in for Mabaso
S102631,relief_no_show,"NEXT SHIFT AKAFIKANGA, NGIHLALE KUZE KUBE 06:00"
S105083,client_requested,"additional cover requested by site manager, signed off"
S108286,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S101325,client_requested,klient het ekstra ure gevra vir stocktake !
S108195,relief_no_show,"relief never arrived, stayed on till 6am"
S104015,colleague_absent,"covering Motaung post, no show no caall"
S102989,late_handover,"handover late agn, keys missing"
S108078,relief_no_show,Next shift guard did not pitch. Had to covr.
S106439,colleague_absent,"double duty today, Sithole on family responsibility leave"
S101779,late_handover,"late handover, waiting on paperwork"
S101122,colleague_absent,PILLAY OFF SICK. AGN. COVERED !
S102228,colleague_absent,stood in for Fourie
S100554,client_requested,Centre manager requested addtional cover for stocktake..
S108850,nothing_reported,.
S106565,nothing_reported,ok
S109287,late_handover,"waited 25 min for handover, OB book not signed.."
S108347,nothing_reported,
S107387,colleague_absent,"took naidoo shift as well, 2 posts 1 guard.."
S106396,client_requested,Client asked for extra patrol after the break-in Tuesday..
S100905,nothing_reported,quiet shift
S100333,colleague_absent,"geddek vir Mabaso, siek gemeld.."
S103806,colleague_absent,Ndlovu off sick. aggn. covered
S103850,nothing_reported,no issues on site
S101502,client_requested,"additional cover requested by site manager, signed off"
S106645,client_requested,client asked for extra patrol after the break-in tuesday
S104103,colleague_absent,"Pillay absent, took her rounds as well"
S102856,nothing_reported,niks om te rapporteer nie
S101331,relief_no_show,"no replacement sent, ngicela sort this out.."
S108104,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S102307,colleague_absent,"double duty today, Maluleke on family responsibility leave"
S102886,colleague_absent,"took Adams shift as well, 2 posts 1 guard.."
S106107,equipment_failure,"machine down again, took twice as long"
S104337,client_requested,"requested by centre management for load in, signed off"
S106848,nothing_reported,no issues on site
S103166,nothing_reported,ok
S103384,equipment_failure,"generator fault, stayed to monitor"
S100022,client_requested,Client rquested deep clean before the audit - approved
S109118,equipment_failure,"buffer machine kaput, did the floor by hand"
S103269,nothing_reported,all good
S100388,client_requested,"additional cover requested by site manager, signed off"
S103014,colleague_absent,"Sithole absent, took her rounds as well"
S103608,relief_no_show,"aflos het nie opgedaag nie, moes aanbly"
S104501,nothing_reported,all fine
S103366,nothing_reported,quiet shift
S101518,late_handover,"waited 30 min for handover, ob book not signed"
S102859,equipment_failure,"scrubber broke down, had to do the floor manually"
S106529,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt"
S104422,nothing_reported,all fine
S100738,relief_no_show,double shift bc relief never pitched
S102143,nothing_reported,ok
S101484,late_handover,"waited 45 min for handover, OB book not signed"
S105299,nothing_reported,
S100204,nothing_reported,all good
S105768,client_requested,client asked for extra patrol after the break-in tuesday
S107100,nothing_reported,
S106646,client_requested,client requested deep clean befroe the audit - approved
S104821,late_handover,"oorhandiging was lat, gewag vir sleutels"
S101034,nothing_reported,no issues on site
S103226,client_requested,Client requested deep clean before the audit - approved..
S106671,client_requested,"requested by centre management for load in, signed off"
S109348,disputed_client_request,client signed for the extra hours but real reason is relief no show agn
S105269,colleague_absent,"covering Sibiya post, no show no call"
S103800,nothing_reported,nothing to report
S108275,relief_no_show,relif no show AGAIN
S102865,client_requested,Client asked for extra patrol after the break-in Tuesday
S102439,nothing_reported,all good
S107217,equipment_failure,"buffer machine kaput, did the floor by hand"
S102952,nothing_reported,ntr
S108076,client_requested,"CLIENT ASKED US TO STAY FOR THE DELIVERY, OK'D BY CENTRE MGMT"
S100629,colleague_absent,COVERED FOR WYK AGAIN - 3RD TIME THIS MONTH
S108051,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S108033,relief_no_show,Next shift guard did not pitch. Had to cover.
S108562,colleague_absent,Covering for Adams - booked off sick
S104862,late_handover,"handover late again, keys missing"
S102855,relief_no_show,Next shift guard did not pitch. Had to cover.
S103428,colleague_absent,"zulu absent, took her rounds as well"
S103584,colleague_absent,"worked through, baloyi at the clinic"
S106947,late_handover,shift handover delayed by 40 min
S108154,nothing_reported,.
S105631,colleague_absent,Khumalo off sick. again. covered.
S104568,colleague_absent,"Cele absent, took her rounds as well"
S105508,late_handover,"oorhandiging was laat, gewag vir sleutels"
S106033,colleague_absent,Covering for Fourie - booked off sick
S106673,client_requested,Client asked for exra patrol after the break-in Tuesday
S109183,client_requested,Client requested deep clean before the audit - approveed
S108185,colleague_absent,"covering Wyk post, no show no call"
S103019,relief_no_show,"still on site, relief was suppose to come 06:00"
S102844,colleague_absent,radebe off sick. again. covered.
S107816,colleague_absent,"worked through, Maluleke at the clinic"
S101627,late_handover,"waited 40 min for handover, OB book not signed"
S108529,colleague_absent,"uFourie akezanga namhalnje, ngimele yena"
S101445,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S104588,nothing_reported,all good
S108628,equipment_failure,"buffer machine kaput, did the floor by hand"
S108873,colleague_absent,Fourie off sick. agn. covered.
S104017,colleague_absent,"uPillay akezanga namhlanje, nimele yena !"
S106533,relief_no_show,"no replacement sent, ngicela sort this out"
S101777,equipment_failure,"machine down again, took twice as long"
S103073,colleague_absent,covering for nkosi - booked off sick..
S100983,nothing_reported,no issues on site
S108346,colleague_absent,"covering Cele post, no show no call"
S107474,relief_no_show,"control room says relief coming, nobody came"
S100715,nothing_reported,nothing to report
S106737,late_handover,"laet handover, waiting on paperwork"
S105115,colleague_absent,Naidoo off sick. agn. covered.
S100577,client_requested,"requested by centre management for load in, signed off"
S103405,nothing_reported,
S105653,colleague_absent,stood in for Jacobs
S102421,client_requested,"stocktake ran over, client asked us to remain, they know they pay for it"
S102725,nothing_reported,-
S103582,colleague_absent,"Mabaso didnt come in, covered the post.."
S109249,nothing_reported,quiet shift
S106149,client_requested,client asked for extra patrol after the break-in tuesday
S103062,relief_no_show,"no replacement sent, ngicela sort this out"
S103565,nothing_reported,ntr
S107861,nothing_reported,sharp
S100942,colleague_absent,Nkosi off sick. again. covered.
S107766,colleague_absent,"uAdams akezanga namhlanje, ngimele yena"
S104514,nothing_reported,ntr
S108019,equipment_failure,"BUFFER MACHINE KAPUT, DID THE FLOOR BY HAND.."
S100711,colleague_absent,"took Wyk shift as well, 2 posts 1 guard"
S107338,colleague_absent,"took Sithole shift as well, 2 posts 1 guard"
S105984,late_handover,"late handover, waiting on paperwork"
S100747,unclear,"client says stay till 6am, dont know if office approved"
S103623,relief_no_show,relief no show again
S106555,late_handover,shift handover delayed by 45 min
S104288,colleague_absent,"took Sithole shift as well, 2 posts 1 guard"
S101734,colleague_absent,"Mokoena absent, took her rounds as well"
S103832,relief_no_show,"still on site, relief was suppose to come 06:00"
S106792,relief_no_show,"no replacement sent, ngicela sort this out.."
S106354,client_requested,Client requested deep clean before the audit - approved
S102049,client_requested,"client asked us to stay for the delivery, ok'd by cnetre mgmt"
S106122,late_handover,shift handover delayed by 30 min..
S103211,client_requested,"additional cover requested by site manager, signed off"
S103957,nothing_reported,quiet shift
S103447,relief_no_show,"relief never arrived, stayed on till 06:00"
S103726,colleague_absent,"worked through, fourie at the clinic"
S100818,colleague_absent,"worked through, mthembu at the clinic"
S103655,late_handover,"late handover, waitnig on paperwork"
S102134,late_handover,"handover late agn, keys missing !"
S107628,nothing_reported,as per normal
S104916,colleague_absent,"Mavuso absent, took her rounds as well"
S103547,relief_no_show,"relief only arrived 6, stayed until then.."
S107968,relief_no_show,"no replacement sent, ngicela sort this out"
S102834,equipment_failure,"gate motor failed, manned it by hand till 6"
S108466,colleague_absent,"GEDK VIR MOKOENA, SEK GEMELD"
S108071,relief_no_show,"waited for relief, nobody came through"
S107721,colleague_absent,"WORKED THROUGH, MOTAUNG AT THE CLINIC"
S106240,relief_no_show,"aflos het nie opgedaag nie, moes aanbly.."
S102816,disputed_client_request,client signed for the extra hours but real reason is relief no show agn
S103400,relief_no_show,RELIEF NO SHOW AGAIN
S103567,colleague_absent,Covering for Naidoo - booked off sick
S103011,relief_no_show,"still on site, relief was suppose to coe six"
S106804,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S104038,late_handover,"late handover, waiting on paperwork"
S101555,client_requested,Clint ased for extra patrol after the break-in Tuesday
S105556,colleague_absent,"UMANUEL AKEZANGA NAMHLANJE, NGIMELE YENA"
S105003,nothing_reported,-
S107975,nothing_reported,no issues on site
S100140,relief_no_show,Next shift guard did not pitch. Had to cover.
S107075,colleague_absent,"double duty toda,y sibiya on family responsibility leave"
S106652,relief_no_show,"still on site, relief was suppoes to come 6am"
S103478,colleague_absent,"double dtuy today, Nkoi on family responsibility leave"
S101798,colleague_absent,"worked through, Cele at the clinic"
S102432,late_handover,"oorhandiging was laat, gewag vir sleutels"
S105047,unclear,"client says stay till six, donnt know if office approved"
