shift_id,logged_by,note
S103630,SUP-21,"Botha absent, took her rounds as well"
S101912,SUP-23,"covering khumalo post, no show no call"
S106449,SUP-06,client requested deep clean before the audit - approved !
S102915,SUP-10,"worked through, Baloyi at the clinic"
S108089,SUP-24,"conntrol room says relief coming, nobody came"
S100063,SUP-19,"Botha didnt come in, covered the post"
S109151,SUP-07,no incidents
S105810,SUP-09,covered for mauel again - 3rd time this month
S100324,SUP-13,"still on site, relief was suppose to come 06:00"
S108372,SUP-11,"worked through, Sibiya at the clinic.."
S104893,SUP-01,"waited 20 min for handover, OB book not signed"
S106412,SUP-05,"uTshabalala akezanga namhlanje, ngimele yena"
S106153,SUP-04,stood in for Pillay..
S107045,SUP-24,relief no show AGAIN
S104802,SUP-11,"extra patrol per client email, approved by office"
S108282,SUP-13,klient het ekstra ure gevra vir stocktake
S103468,SUP-03,"waited 25 min for handover, OB book not signed"
S100592,SUP-24,"client asked us to stay for the delivery, ok'd by centre mgmt"
S104639,SUP-21,"additional cover requested by site mgr, signed off"
S106391,SUP-24,akukho lutho
S102310,SUP-19,.
S108259,SUP-07,"gate motor failed, manned it by hand till 6"
S107682,SUP-21,-
S106087,SUP-01,"relief only arrived 06h00, stayed until then"
S101617,SUP-08,
S103563,SUP-21,sharp
S107432,SUP-11,ntr
S105979,SUP-12,fine
S107340,SUP-23,Covering for Mahlangu - bookked off sick
S103376,SUP-16,"client wanted extra man on the gate for the event, approved"
S107293,SUP-17,"relief never arrived, stayed on till 6"
S100954,SUP-23,ok
S101549,SUP-24,"handover late agn, keys missing"
S100624,SUP-01,akukho lutho
S100926,SUP-11,"covering Hendricks pos, no show no call"
S103528,SUP-12,Centre mgr requested additional cover for stocktake
S107844,SUP-02,Clint requested deep clean before the audit - approved
S106119,SUP-09,"uMolefe akezanga namhlanje, ngimele yena"
S101874,SUP-07,"no replacement sent, ngicela sort this out"
S107803,SUP-14,fine
S105335,SUP-02,client asked for extra patrol after the break-in tueesday
S107833,SUP-21,"oorhandiging was laa, gewag vir sleutels"
S108358,SUP-02,"took Motaung shift as well, 2 posts 1 guard"
S101505,SUP-13,
S106236,SUP-03,extra hours approved by clent for the event setup
S101047,SUP-10,Centre manager requested additional cover for stocktake
S109288,SUP-17,all quiet
S104123,SUP-24,nothing to report
S108613,SUP-13,"oorhandiging was laat, gewag vir sleutels"
S103780,SUP-14,nothing to report
S109338,SUP-16,relief no show again
S106991,SUP-04,"client asked us to stay for the delivery, ok'd by cnetre mgmt"
S108913,SUP-23,double shift bc relief never pitched
S101184,SUP-05,shift handover delayed by 25 min
S101387,SUP-06,"gedek vir Adaams, siek gemeld"
S108219,SUP-20,nothing to report
S101599,SUP-17,client signed for the extra hours but real reason is relief no show agin
S106262,SUP-03,"covering Molefe post, no sow no call.."
S102769,SUP-02,n/a
S109299,SUP-01,"Hendricks didnt come in, coevred the post"
S101576,SUP-19,"waited 30 min for handover, OB book not signed !"
S104408,SUP-06,"ugNcobo akezanga namhlanje, ngimele yena"
S102020,SUP-24,"took Wyk shift as well, 2 posts 1 guard"
S105189,SUP-05,CLIENT REQUESTED DEEP CLEAN BEFORE THE AUDIT - APPROVED
S101875,SUP-14,shift handover delayed by 30 min
S103448,SUP-19,"Mokoena didnt come in, covered the pst"
S104440,SUP-23,"waited for relief, nobody came through"
S103026,SUP-01,relief no shwo AGAIN
S100892,SUP-02,"uJacobs akezanga namhlanje, ngimele yena.."
S107877,SUP-02,shift handover delayed by 45 min
S108492,SUP-04,fine
S107113,SUP-15,"handover late again, keys missing"
S104838,SUP-06,"cllient says stay till 06h00, dont know if office approved"
S104527,SUP-12,Covreed for Mabaso agn - 3rd time this month
S106371,SUP-17,"double duty today, Dlamini on family responsibility leave"
S108108,SUP-21,"aflos het nie opgedaag nie, moes aanbly"
S102956,SUP-08,"late handover, waiting on paperwork.."
S101752,SUP-18,"gedek vir Maluleke, siek gemeld"
S103686,SUP-02,"relief never arrived, stayed on till 06h00"
S104188,SUP-09,"TOOK SIBIYA SHIFT AS WELL, 2 POSTS 1 GUARD"
S107471,SUP-23,.
S107963,SUP-06,"Sithole absent, took her rounds as well.."
S101906,SUP-14,"scrubber broke down, had to do the flooor manually"
S102383,SUP-21,"client wanted extra man on the gate for the event, appoved"
S104172,SUP-22,"generator fault, stayed to monitor"
S108025,SUP-22,"reliief only arrived 06:00, stayed until then"
S109329,SUP-17,"client says stay till 6am, dont kow if office approved"
S103063,SUP-22,"took Wyk shift as well, 2 posts 1 guard"
S100422,SUP-10,mavuso off sick. again. covered.
S107743,SUP-12,"gedek vir Khumalo, siek gemeld !"
S100921,SUP-14,as per normal
S108442,SUP-08,"oorhandiging was laat, gewag vir sleutels"
S107824,SUP-17,Centre manager requested additional cover for stocktake
S106793,SUP-07,client signed for the extra hours but real reason is relief no show agn..
S101513,SUP-06,"TOOK BOTHA SHIFT AS WELL, 2 POSTS 1 GUARD"
S102046,SUP-10,"client wanted extra man on the gate for the event, approved"
S108952,SUP-09,"handover late again, keys missign"
S105999,SUP-09,stood in for Ndlovu
S103398,SUP-12,"control room syas relief coming, nobody came"
S102032,SUP-22,"machine down again, took twice as long.."
S108170,SUP-09,"lift out of order, everything carried up stairs, took long"
S103186,SUP-23,"waited 45 min for handover, ob book not signed"
S103258,SUP-02,n/a
S102514,SUP-09,"maluleke absent, took her rounds as well"
S101242,SUP-18,extra hours approved by cliennt for the event setup
S103855,SUP-02,"oorhandiging was laat, gewag vir sleutels"
S107720,SUP-23,"machine down again, took twce as long"
S104067,SUP-21,sharp
S105344,SUP-12,"covering Mokoena post, no show no call"
S100153,SUP-13,"buffer machine kaput, did the floor by hand"
S100195,SUP-09,"additional cover requuested by site maanger, signed off"
S100504,SUP-21,quiet shift
S107445,SUP-20,"toko Fourie shift as well, 2 posts 1 guard"
S105589,SUP-21,extra hours approoved by clinet for the event setup
S104419,SUP-11,shift handover delayed by 25 min !
S107473,SUP-05,"wroked through, naidoo at the clinic"
S101083,SUP-04,quiet shift
S100377,SUP-08,"masjien is stukkend, alles met die hand gedoen"
S102826,SUP-22,n/a
S100391,SUP-14,"aflos het nie opgedaag nie, moes aabnly"
S108328,SUP-03,"covering Jacobs post, no show no call"
S100618,SUP-01,nothing to report
S107742,SUP-23,"control room says relief coming, nobdoy came"
S104637,SUP-18,extra hours approved by client for the event setup
S100893,SUP-15,"buffer machine kaput, did the floor by hand.."
S104125,SUP-15,"waited for relief, nobody came through"
S103628,SUP-09,extra hrs approved by client for the event setup
S106131,SUP-09,extra hrs approved by client for the event setup
S107763,SUP-18,no incidents
S107745,SUP-07,"requested by centre management for load in, signed off !"
S106445,SUP-01,no relief. stayed. someone must please sort the roster..
S106151,SUP-14,shift handover delayed by 50 min
S103016,SUP-14,ok
S104630,SUP-06,"lift out of order, everything carried up stairs, took long"
S104543,SUP-06,exra hours approved by client for the event setup
S104784,SUP-09,"machine down agn, took twice as long.."
S101584,SUP-13,Client requested deep clean before the audit - approved
S107058,SUP-21,"control room says relief coming, nobody came"
S100599,SUP-15,"double duty today, jacobs on family responsibility leave"
S106491,SUP-23,Client asked for extra patrol after the break-in Tuesday
S108623,SUP-20,"nxt shift akafikanga, ngihlale kuze kube 0600"
S108587,SUP-10,"worked through, september at the clinic"
S107327,SUP-14,no relief. staye. someone must pleease sort the roster !
S109285,SUP-23,shift handover delayed by 30 min
S104563,SUP-11,shift handover delayed by 30 min
S101903,SUP-24,no incidents
S104534,SUP-21,"took Wyk shift as well, 2 posts 1 guard.."
S100693,SUP-04,"handover late agn, keys missing !"
S102396,SUP-03,"next shift akafikanga, ngihlale kuze kube 06h00"
S108862,SUP-20,"stocktake ran over, client asked us to remain, they know they pay for it"
S106564,SUP-20,centre manager requested additional cover for stocktake
S101591,SUP-23,"uAdams akezanga namhlanje, ngimele yena"
S107632,SUP-12,shift handover delayed by 40 min
S107123,SUP-21,"oorhandiging was laat, geewag vir sleutels"
S100716,SUP-24,Botha off sick. again. covered
S106552,SUP-23,Covering for Khumalo - booked off sick
S108889,SUP-22,"masjien is stukkend, alles met die hand gedoen"
S100160,SUP-15,"aflos het nie opgedaag nie, moes aanbly"
S108113,SUP-17,"client wanted extra man on the gate for the event, approved"
S104315,SUP-11,Covered for Zulu agn - 3rd time this month
S100588,SUP-19,"oorhandiging was laat, gewag vir sletuels"
S106213,SUP-03,"Radebe didnt come in, covered the post"
S102110,SUP-08,"client says stay till 0600, dont know if office approved"
S103965,SUP-18,"Mavuso didnt come in, covered the post"
S102765,SUP-19,"buffer mcahine kaput, did the floor by hand.."
S102065,SUP-05,"CLIENT ASKED US TO STAY FOR THE DELIVERY, OK'D BY CENTRE MGMT"
S108797,SUP-24,Client requested deep clean before the audit - approved
S100570,SUP-21,no incidents
S106130,SUP-07,extra hours approved by client for the event setup
S105900,SUP-07,"covering Maluleke post, no show no call"
S100159,SUP-14,"lift out of order, everything carried up stairs, took long"
S107412,SUP-06,Client requested deep clean before the audit - approved
S104919,SUP-11,double shift bc relief never pitched
S104519,SUP-22,"SCRUBBER BROKE DOWN, HAD TO DO THE FLOOR MANUALLY"
S104625,SUP-05,"scrubber broke down, had to do the floor manually"
S104230,SUP-07,"HENDRICKS DIDNT COME IN, COVERED THE POST"
S107710,SUP-03,"buffer machine kaput, did the floor by hand.."
S107512,SUP-05,no issues on site
S107337,SUP-23,next shift guard did not pitch. had to cover.
S109128,SUP-13,sharp
S104122,SUP-19,-
S100731,SUP-17,"late handover, waiting on paperwork"
S107041,SUP-02,"client says stay till 0600, dont know if offcie approved"
S107057,SUP-19,no incidents
S108017,SUP-19,"relief only arrived six, stayed until thhen"
S100815,SUP-12,
S105108,SUP-15,"buffer machine kaput, did the floor by hand"
S104091,SUP-21,"double duty today, Ngcobo on family responsibility leave"
S105998,SUP-24,sharp
S106138,SUP-20,"relief only arrived 06:00, stayed until then"
S103597,SUP-17,"covering Molefe post, no show no call.."
S107765,SUP-21,no relief. stayed. someone must please sort the roster
S102732,SUP-06,stood in for Khumalo
S100013,SUP-22,"no replacement sent, ngicela sort this out"
S107891,SUP-17,"covering Radebe post, no show no call"
S104320,SUP-19,client signed for the extra hrs but real reason is relief no show again
S103450,SUP-11,"client wanted extra man on the gate for the event, approved"
S105833,SUP-19,Centre manager requested additional cover for stocktake..
S107430,SUP-23,"buffer machine kaput, did the floor by hand"
S105324,SUP-11,"waited 20 min for handover, OB book not signed"
S101068,SUP-18,"mavuso didnt come in, covered the post"
S103089,SUP-21,"took Mavuso shift as well, 2 posts 1 guard"
S106346,SUP-24,"CLIET SAYS STAY TILL 0600, DONT KNOW IF OFFICE APPROVED"
S100845,SUP-07,n/a
S101082,SUP-20,-
S102397,SUP-12,"relief oly arrived six, stayed until then"
S101577,SUP-17,"stocktake ran over, client asked us to remain, they know they pay for it"
S103386,SUP-03,akukho lutho
S100261,SUP-07,"extra patrol per client email, approved by office"
S108560,SUP-16,"Motaung absent, took her rounds as well"
S100346,SUP-20,"gate motor faled, manned it by hand till 06h00"
S107758,SUP-19,"waited for relief, nobody came through"
S103760,SUP-15,client signed for the extra hours but real reason is relief no show agn
S105632,SUP-23,"late handover, waiting on paperwork"
S102162,SUP-16,quiet shift
S106556,SUP-17,"gate motor failed, manned it by hand till six"
S106150,SUP-06,"DOUBLE DUTY TODAY, WYK ON FAMILY RESPONSIBILITY LEAVE"
S104946,SUP-04,ok
S109135,SUP-13,"late handover, waiting on paperwork"
S107358,SUP-01,"extra patrool per client email, approved by office"
S108965,SUP-14,"client says stay till six, dont know if office approved"
S107557,SUP-08,Balloyi off sick. agn. covered
S102889,SUP-14,"client says stay till 6am, dont know if office approved"
S101114,SUP-11,klient het ekstra ure gevra vir stocktake !
S104158,SUP-24,"client says say till 6am, dont know if office approved"
S108836,SUP-18,"waited for relief, nobody came through"
S103378,SUP-20,"handover laet agn, keys missing"
S108174,SUP-09,shift handover delayed by 20 min..
S102121,SUP-18,akukho lutho
S106272,SUP-01,"additional cover requested by site manager, signed off"
S102883,SUP-08,"client asked us to stay for the delivery, ok'd by centre mgmt"
S104413,SUP-07,"double duty today, Zulu on family responsibility leave"
S102630,SUP-06,"took dlamini shift as well, 2 posts 1 guard"
S103206,SUP-21,stood in for Fourie
S103609,SUP-07,"gedek vir Ndlovu, siek gemeld"
S103551,SUP-19,CLIETN ASKED FOR EXTRA PATROL AFTER THE BREAK-IN TUESDAY
S107118,SUP-20,klient het ekstra ure gevra vir stocktake
S107491,SUP-16,zulu off sick. again. coveered.
S103775,SUP-03,"scrubber broke down, had to do the floor manually.."
S104429,SUP-18,"Septeember didnt come in, covered the post"
S104005,SUP-02,"Mabaso didnt come in, covered the post"
S102885,SUP-16,sharp
S106574,SUP-01,ntr
S104365,SUP-11,"additional cover requested by site mgr, signed off"
S105303,SUP-10,extra hours approved by client for the event setup
S102254,SUP-17,"client says stay till 6, dont know if office approved"
S102028,SUP-02,"stocktake ran over, client asked us to reemain, they know they pay for it"
S107739,SUP-05,klient het ekstra ure gevra vir stocktake..
S100313,SUP-13,"generator fault, stayed to monitor"
S105239,SUP-05,"scrubber broke down, had to do the floor manually"
S101500,SUP-22,"Sithole absent, took her rounds as well"
S109296,SUP-24,"NEXT SHIFT AKAFIKANGA, NGIHLALE KUZE KUBE 0600.."
S109301,SUP-12,"took Wyk shift as well, 2 posts 1 gard.."
S102605,SUP-16,n/a
S103931,SUP-04,niks om te rapporteer nie
S102420,SUP-06,"oorhandiging was laat, gewag vir sleutels"
S108871,SUP-09,Client askeed for extra patrol afetr the break-in Tuesday
S105150,SUP-06,-
S106438,SUP-06,stood in for Mabaso
S102631,SUP-04,"NEXT SHIFT AKAFIKANGA, NGIHLALE KUZE KUBE 06:00"
S105083,SUP-16,"additional cover requested by site manager, signed off"
S108286,SUP-15,"masjien is stukkend, alles met die hand gedoen"
S101325,SUP-06,klient het ekstra ure gevra vir stocktake !
S108195,SUP-14,"relief never arrived, stayed on till 6am"
S104015,SUP-10,"covering Motaung post, no show no caall"
S102989,SUP-07,"handover late agn, keys missing"
S108078,SUP-19,Next shift guard did not pitch. Had to covr.
S106439,SUP-01,"double duty today, Sithole on family responsibility leave"
S101779,SUP-05,"late handover, waiting on paperwork"
S101122,SUP-03,PILLAY OFF SICK. AGN. COVERED !
S102228,SUP-02,stood in for Fourie
S100554,SUP-12,Centre manager requested addtional cover for stocktake..
S108850,SUP-23,.
S106565,SUP-20,ok
S109287,SUP-03,"waited 25 min for handover, OB book not signed.."
S108347,SUP-04,n/a
S107387,SUP-04,"took naidoo shift as well, 2 posts 1 guard.."
S106396,SUP-13,Client asked for extra patrol after the break-in Tuesday..
S100905,SUP-06,quiet shift
S100333,SUP-23,"geddek vir Mabaso, siek gemeld.."
S103806,SUP-06,Ndlovu off sick. aggn. covered
S103850,SUP-16,no issues on site
S101502,SUP-21,"additional cover requested by site manager, signed off"
S106645,SUP-18,client asked for extra patrol after the break-in tuesday
S104103,SUP-04,"Pillay absent, took her rounds as well"
S102856,SUP-14,niks om te rapporteer nie
S101331,SUP-06,"no replacement sent, ngicela sort this out.."
S108104,SUP-08,"masjien is stukkend, alles met die hand gedoen"
S102307,SUP-18,"double duty today, Maluleke on family responsibility leave"
S102886,SUP-18,"took Adams shift as well, 2 posts 1 guard.."
S106107,SUP-08,"machine down again, took twice as long"
S104337,SUP-15,"requested by centre management for load in, signed off"
S106848,SUP-11,no issues on site
S103166,SUP-03,ok
S103384,SUP-17,"generator fault, stayed to monitor"
S100022,SUP-16,Client rquested deep clean before the audit - approved
S109118,SUP-13,"buffer machine kaput, did the floor by hand"
S103269,SUP-04,all good
S100388,SUP-19,"additional cover requested by site manager, signed off"
S103014,SUP-23,"Sithole absent, took her rounds as well"
S103608,SUP-11,"aflos het nie opgedaag nie, moes aanbly"
S104501,SUP-12,all fine
S103366,SUP-23,quiet shift
S101518,SUP-02,"waited 30 min for handover, ob book not signed"
S102859,SUP-03,"scrubber broke down, had to do the floor manually"
S106529,SUP-21,"client asked us to stay for the delivery, ok'd by centre mgmt"
S104422,SUP-12,all fine
S100738,SUP-23,double shift bc relief never pitched
S102143,SUP-19,ok
S101484,SUP-04,"waited 45 min for handover, OB book not signed"
S105299,SUP-05,n/a
S100204,SUP-06,all good
S105768,SUP-13,client asked for extra patrol after the break-in tuesday
S107100,SUP-01,n/a
S106646,SUP-16,client requested deep clean befroe the audit - approved
S104821,SUP-12,"oorhandiging was lat, gewag vir sleutels"
S101034,SUP-14,no issues on site
S103226,SUP-10,Client requested deep clean before the audit - approved..
S106671,SUP-02,"requested by centre management for load in, signed off"
S109348,SUP-14,client signed for the extra hours but real reason is relief no show agn
S105269,SUP-14,"covering Sibiya post, no show no call"
S103800,SUP-13,nothing to report
S108275,SUP-06,relif no show AGAIN
S102865,SUP-10,Client asked for extra patrol after the break-in Tuesday
S102439,SUP-24,all good
S107217,SUP-16,"buffer machine kaput, did the floor by hand"
S102952,SUP-23,ntr
S108076,SUP-08,"CLIENT ASKED US TO STAY FOR THE DELIVERY, OK'D BY CENTRE MGMT"
S100629,SUP-22,COVERED FOR WYK AGAIN - 3RD TIME THIS MONTH
S108051,SUP-01,"masjien is stukkend, alles met die hand gedoen"
S108033,SUP-18,Next shift guard did not pitch. Had to cover.
S108562,SUP-01,Covering for Adams - booked off sick
S104862,SUP-05,"handover late again, keys missing"
S102855,SUP-03,Next shift guard did not pitch. Had to cover.
S103428,SUP-03,"zulu absent, took her rounds as well"
S103584,SUP-09,"worked through, baloyi at the clinic"
S106947,SUP-23,shift handover delayed by 40 min
S108154,SUP-16,.
S105631,SUP-12,Khumalo off sick. again. covered.
S104568,SUP-03,"Cele absent, took her rounds as well"
S105508,SUP-21,"oorhandiging was laat, gewag vir sleutels"
S106033,SUP-16,Covering for Fourie - booked off sick
S106673,SUP-03,Client asked for exra patrol after the break-in Tuesday
S109183,SUP-10,Client requested deep clean before the audit - approveed
S108185,SUP-18,"covering Wyk post, no show no call"
S103019,SUP-10,"still on site, relief was suppose to come 06:00"
S102844,SUP-24,radebe off sick. again. covered.
S107816,SUP-02,"worked through, Maluleke at the clinic"
S101627,SUP-01,"waited 40 min for handover, OB book not signed"
S108529,SUP-11,"uFourie akezanga namhalnje, ngimele yena"
S101445,SUP-23,"masjien is stukkend, alles met die hand gedoen"
S104588,SUP-24,all good
S108628,SUP-24,"buffer machine kaput, did the floor by hand"
S108873,SUP-09,Fourie off sick. agn. covered.
S104017,SUP-13,"uPillay akezanga namhlanje, nimele yena !"
S106533,SUP-20,"no replacement sent, ngicela sort this out"
S101777,SUP-08,"machine down again, took twice as long"
S103073,SUP-04,covering for nkosi - booked off sick..
S100983,SUP-05,no issues on site
S108346,SUP-24,"covering Cele post, no show no call"
S107474,SUP-18,"control room says relief coming, nobody came"
S100715,SUP-09,nothing to report
S106737,SUP-11,"laet handover, waiting on paperwork"
S105115,SUP-08,Naidoo off sick. agn. covered.
S100577,SUP-06,"requested by centre management for load in, signed off"
S103405,SUP-08,n/a
S105653,SUP-24,stood in for Jacobs
S102421,SUP-22,"stocktake ran over, client asked us to remain, they know they pay for it"
S102725,SUP-07,-
S103582,SUP-16,"Mabaso didnt come in, covered the post.."
S109249,SUP-12,quiet shift
S106149,SUP-11,client asked for extra patrol after the break-in tuesday
S103062,SUP-24,"no replacement sent, ngicela sort this out"
S103565,SUP-17,ntr
S107861,SUP-13,sharp
S100942,SUP-12,Nkosi off sick. again. covered.
S107766,SUP-15,"uAdams akezanga namhlanje, ngimele yena"
S104514,SUP-22,ntr
S108019,SUP-01,"BUFFER MACHINE KAPUT, DID THE FLOOR BY HAND.."
S100711,SUP-18,"took Wyk shift as well, 2 posts 1 guard"
S107338,SUP-15,"took Sithole shift as well, 2 posts 1 guard"
S105984,SUP-21,"late handover, waiting on paperwork"
S100747,SUP-01,"client says stay till 6am, dont know if office approved"
S103623,SUP-20,relief no show again
S106555,SUP-22,shift handover delayed by 45 min
S104288,SUP-01,"took Sithole shift as well, 2 posts 1 guard"
S101734,SUP-09,"Mokoena absent, took her rounds as well"
S103832,SUP-17,"still on site, relief was suppose to come 06:00"
S106792,SUP-02,"no replacement sent, ngicela sort this out.."
S106354,SUP-10,Client requested deep clean before the audit - approved
S102049,SUP-15,"client asked us to stay for the delivery, ok'd by cnetre mgmt"
S106122,SUP-12,shift handover delayed by 30 min..
S103211,SUP-15,"additional cover requested by site manager, signed off"
S103957,SUP-06,quiet shift
S103447,SUP-10,"relief never arrived, stayed on till 06:00"
S103726,SUP-22,"worked through, fourie at the clinic"
S100818,SUP-23,"worked through, mthembu at the clinic"
S103655,SUP-12,"late handover, waitnig on paperwork"
S102134,SUP-08,"handover late agn, keys missing !"
S107628,SUP-07,as per normal
S104916,SUP-19,"Mavuso absent, took her rounds as well"
S103547,SUP-03,"relief only arrived 6, stayed until then.."
S107968,SUP-14,"no replacement sent, ngicela sort this out"
S102834,SUP-04,"gate motor failed, manned it by hand till 6"
S108466,SUP-20,"GEDK VIR MOKOENA, SEK GEMELD"
S108071,SUP-10,"waited for relief, nobody came through"
S107721,SUP-08,"WORKED THROUGH, MOTAUNG AT THE CLINIC"
S106240,SUP-17,"aflos het nie opgedaag nie, moes aanbly.."
S102816,SUP-07,client signed for the extra hours but real reason is relief no show agn
S103400,SUP-05,RELIEF NO SHOW AGAIN
S103567,SUP-23,Covering for Naidoo - booked off sick
S103011,SUP-02,"still on site, relief was suppose to coe six"
S106804,SUP-03,"masjien is stukkend, alles met die hand gedoen"
S104038,SUP-11,"late handover, waiting on paperwork"
S101555,SUP-04,Clint ased for extra patrol after the break-in Tuesday
S105556,SUP-04,"UMANUEL AKEZANGA NAMHLANJE, NGIMELE YENA"
S105003,SUP-20,-
S107975,SUP-19,no issues on site
S100140,SUP-12,Next shift guard did not pitch. Had to cover.
S107075,SUP-23,"double duty toda,y sibiya on family responsibility leave"
S106652,SUP-16,"still on site, relief was suppoes to come 6am"
S103478,SUP-02,"double dtuy today, Nkoi on family responsibility leave"
S101798,SUP-22,"worked through, Cele at the clinic"
S102432,SUP-01,"oorhandiging was laat, gewag vir sleutels"
S105047,SUP-09,"client says stay till six, donnt know if office approved"
S101552,SUP-02,"lift out of order, everything carried up stairs, took long"
S109173,SUP-14,.
S103055,SUP-17,stood in for Fourie
S106541,SUP-15,stood in for Mavuso
S102204,SUP-05,"oorhandiging was laat, gewag vir sleutels"
S103344,SUP-12,"extra patrol per client email, approved by office"
